YEAR,LINK,KEYWORDS
2013_1,https://github.com/MK316/TExams/raw/main/images/2013_1.png,"syllable, sonority, sonority hierarchy"
2013_2a,https://github.com/MK316/TExams/raw/main/images/2013_2a.png,"phonological process, neutralization, phonemic contrast, flap, vowel neutralization, /r/, aspiration, glottal stop, pin, pen"
2013_2b,https://github.com/MK316/TExams/raw/main/images/2013_2b.png,"phonological process, neutralization, phonemic contrast, flap, vowel neutralization, /r/, aspiration, glottal stop, pin, pen"
2012_1a,https://github.com/MK316/TExams/raw/main/images/2012_1a.png,"overlapping, complementary, complementary distribution, contrastive, phoneme, allophone, free variation"
2012_1b,https://github.com/MK316/TExams/raw/main/images/2012_1b.png,"overlapping, complementary, complementary distribution, contrastive, phoneme, allophone, free variation"
2012_2a,https://github.com/MK316/TExams/raw/main/images/2012_2a.png,"coalescent assimilation, palatalization, palatal, glide, architecture, ure"
2012_2b,https://github.com/MK316/TExams/raw/main/images/2012_2b.png,"coalescent assimilation, palatalization, palatal, glide, architecture, ure"
2012_3a,https://github.com/MK316/TExams/raw/main/images/2012_3a.png,"intonation, numeric, pitch, tonic syllable"
2012_3b,https://github.com/MK316/TExams/raw/main/images/2012_3b.png,"intonation, numeric, pitch, tonic syllable"
2011_1,https://github.com/MK316/TExams/raw/main/images/2011_1.png,"diachronic, synchronic, nondistictive feature, dissimilation, insertion, deletion"
2011_2a,https://github.com/MK316/TExams/raw/main/images/2011_2a.png,"speech error, phonological rule, anticipation error, preservation, metathesis"
2011_2b,https://github.com/MK316/TExams/raw/main/images/2011_2b.png,"speech error, phonological rule, anticipation error, preservation, metathesis"
2010_1a,https://github.com/MK316/TExams/raw/main/images/2010_1a.png,"assimilation, place assimilation, manner assimilation, alternation, negative prefix, in, degemination"
2010_1b,https://github.com/MK316/TExams/raw/main/images/2010_1b.png,"assimilation, place assimilation, manner assimilation, alternation, negative prefix, in, degemination"
2010_2a,https://github.com/MK316/TExams/raw/main/images/2010_2a.png,"stress-shifting, suffix, base, syllable structure, light, heavy"
2010_2b,https://github.com/MK316/TExams/raw/main/images/2010_2b.png,"stress-shifting, suffix, base, syllable structure, light, heavy"
2009_1a,https://github.com/MK316/TExams/raw/main/images/2009_1a.png,"monosyllabic, legitimate, phonotactics, lax, tense, long vowel, diphthong, stop, homorganic, NC, voicing agreement "
2009_1b,https://github.com/MK316/TExams/raw/main/images/2009_1b.png,"monosyllabic, legitimate, phonotactics, lax, tense, long vowel, diphthong, stop, homorganic, NC, voicing agreement "
2009_2a,https://github.com/MK316/TExams/raw/main/images/2009_2a.png,"syllabic, /l/, place assimilation, total assimilation"
2009_2b,https://github.com/MK316/TExams/raw/main/images/2009_2b.png,"syllabic, /l/, place assimilation, total assimilation"
2008_1a,https://github.com/MK316/TExams/raw/main/images/2008_1a.png,"stress placement, stress, number of syllables, strong, heavy, syllable weight, rhyme, weak syllable, syllable peak"
2008_1b,https://github.com/MK316/TExams/raw/main/images/2008_1b.png,"stress placement, stress, number of syllables, strong, heavy, syllable weight, rhyme, weak syllable, syllable peak"
2008_2a,https://github.com/MK316/TExams/raw/main/images/2008_2a.png,"connected speech, articulation, rhythm, place assimilation, flap, deletion, consonant deletion"
2008_2b,https://github.com/MK316/TExams/raw/main/images/2008_2b.png,"connected speech, articulation, rhythm, place assimilation, flap, deletion, consonant deletion"
2008_3a,https://github.com/MK316/TExams/raw/main/images/2008_3a.png,"intonation, line, marked, unmarked, question, syntactic, prosodic, context, meaning"
2008_3b,https://github.com/MK316/TExams/raw/main/images/2008_3b.png,"intonation, line, marked, unmarked, question, syntactic, prosodic, context, meaning"
2007_1a,https://github.com/MK316/TExams/raw/main/images/2007_1a.png,"assimilation, palatalization, third segment"
2007_1b,https://github.com/MK316/TExams/raw/main/images/2007_1b.png,"assimilation, palatalization, third segment"
2007_2,https://github.com/MK316/TExams/raw/main/images/2007_2.png,"stress, core, short vowel, diphthong, multiple consonants, syllabel structure, rhyme, heavy"
2006_1,https://github.com/MK316/TExams/raw/main/images/2006_1.png,"function word, isolation, connected speech, pronunciation"
2006_2a,https://github.com/MK316/TExams/raw/main/images/2006_2a.png,"morpheme, affix, derivational, en, causative, monosyllabic, obstruent, phonological constraint, constraint"
2006_2b,https://github.com/MK316/TExams/raw/main/images/2006_2b.png,"morpheme, affix, derivational, en, causative, monosyllabic, obstruent, phonological constraint, constraint"
